id,text,label
0,اینک قصد داریم پرینتر دیگری از پرینترهای لیزری کمپانی Hp را معرفی کنیم.,0
1,پرینتری چند کاره از رده‌ی Entry Level یا سطح مبتدی.,0
2,به هر صورت اکنون ما در دنیایی زندگی می‌کنیم،  که کاربران پرینترها انتظارات بالاتری علاوه بر گرفتن پرینت ساده از دستگاه خود دارند.,0
3,به صورتی که توانایی کپی کردن،  اسکن،  فکس،  پرینت عکس،  پرینت دورو،  قابلیت اتصال از طریق Bluetooth و WiFi را نیز باید داشته باشد.,0
4,به هر صورت معمولا چیزی که بیشتر کاربران از پرینتری پر کار در این سطح قیمت برای خانه و یا دفتر کار انتظار دارند،  تولید پرینت های با کیفیت بالا،  با سرعت زیاد و البته هزینه‌ی نگهداری پایین است.,1
5,همچنین عمل اسکن را هم باید خیلی خوب انجام دهد.,0
6,M1132 نیز پرینتری است که به نظر یکی از بهترین‌ها برای ایفای این نقش می‌باشد.,1
7,همانطور که گفتیم،  M1132 پرینتری لیزری،  تک رنگ و چند کاره است.,0
8,ابعاد آن 415 x 265 x 250 میلی متر می‌باشد و وزن آن نیز به حدود 7 کیلوگرم می‌رسد که وزنی نسبتا کم محسوب می‌گردد.,1
9,این پرینتر بدنه‌ی مشکی استایلیش و البته نه خیلی لوکس دارد و سعی شده که کنترل‌ها و اتصالات کمی هم داشته باشد.,0
10,سینی جلویی توانایی نگهداری 150 برگ کاغذ A4 را دارد و درست در بالای آن،  سینی خروجی قرار گرفته است که به صورت همزمان 100 کاغذ می‌توانند درون آن جای گیرند.,0
11,پرینت دورو باید به صورت دستی انجام شود.,0
12,همچنین USB Flash card یا شیار کارت حافظه هم وجود ندارد.,0
13,علاوه بر این ها،  اتصالات WiFi و Ethernet هم وجود ندارد.,0
14,بنابراین شما می‌مانید و یک پورت USB برای اتصال به رایانه.,0
15,Hp زمان راه اندازی و Setup را با استفاده از فن آوری Smart Install Technology به طور چشمگیری کاهش داده است که به شما اجازه می‌دهد تا بدون احتیاج به یک CD جداگانه برای نصب،  فقط پرینتر را به رایانه متصل کنید تا سپس عمل نصب به صورت خودکار انجام گیرد.,1
16,پنل کنترل خیلی ساده است و فقط دو نمایشگر LED در کنار دکمه های بالا و پایین،  Start و Stop،  دکمه‌ی Setup،  دکمه‌ی Dark/Light tone و دکمه‌ی Copy Size قرار گرفته است.,0
17,سرعت پرینت به نوعی فوق العاده می‌باشد،  به طوری که در تنظیمات استاندارد با رزولوشن 600،  این پرینتر توانایی چاپ 18 صفحه‌ی A4 در دقیقه را دارد.,1
18,اگر در همین رزولوشن آن را بر روی Economic mode قرار دهید،  سرعت به 19 صفحه در دقیقه افزایش می‌یابد.,1
19,حتی اگر رزولوشن را به 1200 برسانید هم سرعت به 12 صفحه در دقیقه کاهش می‌یابد که باز هم سرعت خوبیست.,1
20,کیفیت پرینت در هر دو رزولوشنی که گفتیم،  خیلی خوب است و رنگ مشکی کاملا مشخص و غلیظ می‌باشد.,1
21,رزولوشن اسکن می‌تواند به 1200dpi هم برسد.,0
22,ولی در نظر داشته باشید که با رزولوشن پیشفرض 150dpi،  سرعت اسکن به بیش از 4 صفحه در دقیقه نمی‌رسد.,0
23,کاربرانی که به مصرف انرژی اهمیت می‌دهند حتما خوشحال می‌شوند که این پرینتر دارای ویژگی به نام Auto on/Auto off است که باعث می‌شود وقتی پرینتر احساس می‌کند که مورد استفاده قرار نمی‌گیرد به صورت خودکار به مود Sleep برود.,1
24,به هر صورت همانطور که گفتیم،  Hp Laser Jet Pro M1132 MFP پرینتر لیزری سیاه و سفیدی (تک رنگ) است که سرعت و کیفیت بسیار بالایی را در عمل چاپ ارایه می‌دهد.,1
25,توانایی عملیات اسکن و کپی هم باعث می‌شوند که بتوانید دست کم در سه مورد از این پرینتر استفاده کنید.,1
26,با این حال برای پایین نگه داشتن قیمت،  سعی شده که ظاهر،  کنترل پنل و کانکشن های آن ساده باشند.,0
27,بنابراین اگر به دنبال پرینتری با این ویژگی‌ها هستید،  M1132 گزینه‌ی مناسبی است.,1
28,من دو سال است که از اين پرينتر استفاده مي کنم.,0
29,کار با آن بسيار راحت و ساده است.,1
30,تنها عيبي که دارد در موقع  استفاده صداي نسبتا زيادي دارد.,-1
31,با توجه به قيمتش پرينتر خوبيه.,1
32,سرعت پرينتش بد نيست و از کيفيت اسکنش هم راضيم اما موقع کپي کردن کيفيت کپي مطلوب نيست و کمي تيره کپي ميکنه که به نظر من بهتره اول يه اسکن از متن يا عکسي که ميخوايد کپي کنيد بگيريد بعد پرينت کنيد تا کيفيت مناسبي داشته باشه.,0
33,در کل پرينتر خوبيه!,1
34,اين پرينتر فوق العاده است.,1
35,من يک سالي شده که اين پرينتر خريدم ولي تا به حال هيچ مشکلي باهاش نداشتم.,1
36,هم 3 کارست هم قيمتش با توجه با کاراييش خيلي مناسبه هم اندازه اش متناسبه و هم شيک و زيباست.,1
37,در مورد کيفيت اسکن و پرينت و کپي مي تونين خودتون تغييرش بدين و در کل عاليه!,1
38,خيلي کارش درسته من که تا حالا باهاش مشکلي نداشتم.,1
39,نسبت به کارايي اين دستگاه قيمتش خيلي مناسبه ولي يه چيزي يه کم صداش زيادي بلنده.,0
40,فضاي کمي اشغال ميکند و به دليل سه کاره بودن خيلي از دست آن راضي خواهيد بود و سرعت خوبي هم دارد براي نصب هم نياز به سي دي نداريد و در مدت زمان کمي نصب ميشه.,1
41,دستگاه خوبي است سرعت و کنترلرهاي خوبي دارد کپي و اسکن خوب انجام ميدهد.,1
42,هر از چند گاهي مثلن وقتي که برق قطع ميشود کاغذ که وسط دستگاه گير کرده براي در آوردنش ريسک بايد بکني بکشي در بياد يا نه مونده به شانس شما از روشهاي مختلف امتحان کردم خودش نميتونه در بياره.,-1
43,از ساير نظر خوب است انشالله که برق قطع نشود و يا آدم خوش شانسي باشيد.,1
44,در مجموع نسبت به قيمت خوب است.,1
45,تونرش ميتونست حجيم تر از اين باشد که هست.,0
46,به نظرم نمي ارزه,-1
47,قيمت بالاي اين گوشي بخاطر صفحه نمايش فوق العاده اين گوشيه،  ميشه پشت گوشي رو از داخل صفحه نمايش ديد!,1
48,با توجه به خاص بودن صفحه نمايش قيمت آن بالا ميباشد  .,0
49,ولي ميتوان با اين قيمت يکي ديگر از اعضاي خانواده اکسپريا را خريد - اکسپريا U - که از لحاظ سخت افزاري واقعا با اين گوشي قابل قياس نيست .,0
50,ولي بايد به اين نکته هم توجه کرد که براي افرادي که توانايي کنار آمدن با سيستم عامل هاي ديگر و به طور کلي با اسمارت فون ها را ندارند و در عين حال ميخواهند يک گوشي خاص داشته باشند بسيار عالي ميباشد .,1
51,البته اگر اين گوشي قيمت به مراتب پايين تري داشت حتما به عنوان گوشي دوم  آن را خريداري ميکردم به اين دليل که 1 وزن آن بسيار کم است 2 حافظه داخلي قابل قبولي دارد                                                                                                                                                                   ,1
52,گوشي بسيار زيبا و مدگرا ميباشد,1
53,ZS6 از هر نظر یک کامپکت کاملا معمولی است.,-1
54,بعلاوه از سنت راحی خود کاسیو هم پیروی کرده و شکل و شمایل آن کاملا کاسیویی می باشد.,0
55,کاملا کوچک است و به راحتی در کف دست جای می گیرد.,1
56,در قلب این دوربین یک سنسور تصویر 16 مگاپیکسلی CCD قرار گرفته که رزولوشن خیلی بالایی را ارائه می دهد و در شرایط نوری مناسب می توانید عکس های با کیفیتی را با آن تهیه کنید.,1
57,بعلاوه فیلم برداری 720p HD نیز با آن مقدور می باشد که خیلی خوب است.,1
58,لنز ZS6 خیلی لنز خوبی است به طوری که کمینه ی فاصله ی کانونی آن 26 میلی متر می باشد که در این حال میدان دید خیلی گسترده ای را می تواند در یک میدان دید پوشش دهد.,1
59,توانایی زوم 5 برابر هم برای آن خیلی مناسب است ولی از همه بهتر کمینه ی نسبت کانونی f/2.8 آن است که باعث می شود عملکرد این دوربین در شرایط نوری ضعیف خیلی بهبود یابد.,1
60,در قسمت پشت این دوربین نیز نمایشگر 2.7 اینچی 230000 پیکسلی قرار گرفته که نسبت به این دوربین امکانات و کیفیت خیلی خوبی را ارائه می دهد.,1
61,عکاسی با این دوربین کار بسیار ساده ایست،  کافیست که آن را بر روی مود اتوماتیک قرار دهید،  سپس به سوی سوژه نشانه بروید و دکمه ی شاتر را بفشارید تا بهترین و با کیفیت ترین عکس ها بدست آید.,1
